source_id,galactic_longitude,galactic_latitude,visual_magnitude,parallax
4295806720,176.9510762,-48.90152087,17.641426,0.35433056
34361129088,176.9427885,-48.88493355,17.571619,3.235017272
38655544960,176.9447621,-48.88527012,14.128453,3.139170115
3.09238E+11,176.9142655,-48.87974731,19.597301,1.383149619
3.43597E+11,176.8754244,-48.89837939,18.135033,0.196147669
5.15396E+11,176.886903,-48.85781466,19.433544,0.242393516
5.49756E+11,176.9593656,-48.8343975,14.987767,1.583477007
8.2893E+11,176.9113059,-48.8381628,16.580168,1.203094663
9.66368E+11,176.9074505,-48.81423626,19.956306,1.467696871
1.27561E+12,176.8706287,-48.85450727,16.23627,0.629649987
1.34003E+12,176.8362348,-48.86628915,17.778534,0.415615591
1.34003E+12,176.8372337,-48.85387408,18.615105,0.311064941
1.37439E+12,176.819349,-48.90600504,18.364864,1.765055041
1.6192E+12,176.7944741,-48.86465379,17.877853,1.717299292
1.65356E+12,176.8641906,-48.84653698,16.148806,0.301315272
1.68363E+12,176.8798167,-48.83182752,19.767834,2.937679699
1.71799E+12,176.8379462,-48.84788094,18.629124,2.736715916
1.75235E+12,176.85507,-48.82825798,19.060192,1.20292547
1.78671E+12,176.8784707,-48.80954923,20.666782,1.467347042
2.19902E+12,176.9686551,-48.77462764,18.248137,0.076866453
2.33646E+12,176.9637784,-48.75892059,19.057476,0.373936434
2.40518E+12,176.9472948,-48.76024858,19.704985,0.548403162
2.54692E+12,176.895634,-48.78179151,17.860052,0.224609334
2.74878E+12,176.9770626,-48.7176291,19.692509,1.140450752
2.75307E+12,176.9566791,-48.73038491,19.975853,0.223092934
2.8175E+12,176.9551557,-48.72521631,20.68734,1.968594799
2.85186E+12,176.9497258,-48.71183913,12.356248,2.676206625
2.88622E+12,176.9662692,-48.68868833,20.428804,0.334893018
2.92058E+12,176.9657267,-48.67687691,15.303216,0.588243852
2.9893E+12,176.952622,-48.68641725,19.893806,0.413845528
2.9893E+12,176.9401479,-48.68597186,17.871004,2.358857298
3.05802E+12,176.9365478,-48.70650876,20.151318,5.414544933
3.06231E+12,176.9259377,-48.71823048,15.18222,0.661107616
3.33289E+12,176.8832719,-48.77234704,12.511697,1.77280328
3.37155E+12,176.8561289,-48.78922282,14.56154,1.740795423
3.43597E+12,176.8738117,-48.75361043,20.345776,0.968220917
3.47033E+12,176.8743418,-48.74257117,20.571114,0.366320891
3.50899E+12,176.8605156,-48.76094579,15.161536,1.169073322
3.60777E+12,176.8371939,-48.77964542,18.986055,1.428901126
3.67649E+12,176.803298,-48.77456324,19.425993,1.39293845
3.74521E+12,176.839383,-48.73958433,19.234808,1.015831245
3.91701E+12,176.864365,-48.72485556,17.389402,1.017878248
4.02009E+12,176.8947455,-48.68454904,20.64228,1.406082348
4.05445E+12,176.8653435,-48.70697234,20.371807,3.586103044
4.23054E+12,176.8144216,-48.7211112,15.7034445,0.455642384
4.43241E+12,176.7736156,-48.89057875,20.252285,0.598042629
4.53978E+12,176.7873998,-48.88505885,19.713682,0.167682191
4.70728E+12,176.7249002,-48.89370282,18.714731,0.062953789
4.71158E+12,176.7253373,-48.89907955,14.277885,1.039021112
4.74164E+12,176.7029997,-48.909365,20.649858,1.003909574
4.77601E+12,176.7044086,-48.90304556,20.804167,0.658442099
4.81036E+12,176.7409468,-48.88744522,18.76147,1.767197445
4.81466E+12,176.7334709,-48.87922754,17.15224,1.431882667
5.01652E+12,176.7510522,-48.85063422,19.671003,0.437288015
5.05088E+12,176.7651431,-48.84350107,18.225672,2.835755593
5.1196E+12,176.7915253,-48.80381651,19.159203,1.641344466
5.19262E+12,176.7638133,-48.81376357,16.282227,8.053747022
5.2914E+12,176.7178672,-48.85810563,16.80119,0.379842122
5.2914E+12,176.7190509,-48.85205833,18.739752,0.459627021
5.2914E+12,176.7144898,-48.85309444,17.489523,1.241905475
5.33006E+12,176.7251284,-48.83626813,18.954113,0.754956818
5.36012E+12,176.7513828,-48.82629149,18.44239,2.708094284
5.36441E+12,176.7386228,-48.82863538,17.179367,0.889507866
5.39448E+12,176.750758,-48.81059496,17.82597,1.803276752
5.49756E+12,176.7002261,-48.91010965,16.318913,0.712105123
5.53192E+12,176.6866937,-48.89926904,20.138453,0.703072821
5.84116E+12,176.6254125,-48.91143807,18.87573,2.642519666
6.01296E+12,176.635054,-48.87665439,18.67387,0.570025645
6.01725E+12,176.6359698,-48.87578595,17.294584,0.611239397
6.04731E+12,176.698576,-48.85355026,18.43546,0.32446975
6.08597E+12,176.6981333,-48.83880468,16.271992,0.517392544
6.15039E+12,176.680378,-48.83768953,19.908274,0.007214229
6.18475E+12,176.6972901,-48.82579816,19.676785,0.149437734
6.21911E+12,176.7068384,-48.81479566,18.956064,0.243560265
6.21911E+12,176.6936102,-48.81799589,20.449587,0.801463845
6.22341E+12,176.6895228,-48.81655312,13.932565,3.097848934
6.46393E+12,176.6536242,-48.82480891,17.888735,0.143271076
6.52835E+12,176.6379344,-48.82625209,17.566711,1.508512296
6.59707E+12,176.779527,-48.79419553,20.130293,0.15048828
6.63143E+12,176.7892235,-48.77445004,15.907244,3.595164269
6.70015E+12,176.7645252,-48.77840843,18.84677,0.005526157
6.9106E+12,176.7400498,-48.78198525,17.865686,0.225017161
6.94496E+12,176.7304946,-48.78954905,14.281499,0.990404628
7.11676E+12,176.7274075,-48.75380957,16.743837,5.184996864
7.2499E+12,176.7697421,-48.7170046,19.758446,0.156955782
7.28426E+12,176.7909805,-48.70782693,14.068443,6.227192128
7.35298E+12,176.7747153,-48.71398765,18.929073,0.334659416
7.38734E+12,176.7795317,-48.68870164,15.05918,2.641564994
7.4217E+12,176.7545464,-48.73857446,19.161352,2.246325333
7.46036E+12,176.7614341,-48.7194719,20.100655,4.102116005
7.52478E+12,176.7319593,-48.72956357,20.691904,1.403342676
7.55914E+12,176.7585781,-48.71046817,19.308731,2.314529906
7.63216E+12,176.7404288,-48.71441436,8.068802,5.602293544
7.83402E+12,176.6987499,-48.76879433,17.175085,0.121991895
7.9414E+12,176.6726878,-48.75698517,15.159093,4.569036646
8.04018E+12,176.6387053,-48.80720812,18.20076,1.323389841
8.04447E+12,176.6454754,-48.80231148,14.947446,1.648985274
8.04447E+12,176.6369511,-48.79609137,17.710104,1.377630937
8.1089E+12,176.6599587,-48.77372469,20.353409,0.168442977
8.1089E+12,176.6609558,-48.77041422,20.586231,4.055837926
8.17762E+12,176.6478144,-48.76912084,19.410795,1.178421574
8.24634E+12,176.7153388,-48.74509832,20.392965,2.439255528
8.24634E+12,176.7084673,-48.74319486,17.374819,0.075078713
8.25063E+12,176.7077352,-48.74331347,17.166658,0.734424369
8.31506E+12,176.6882776,-48.73631293,19.36258,0.035796788
8.34942E+12,176.6854069,-48.7230475,18.921555,0.305485823
8.38378E+12,176.7066771,-48.71024273,19.690546,0.394607336
8.41814E+12,176.7151236,-48.69396455,17.991674,1.810867264
8.65865E+12,176.6553398,-48.72171135,20.364698,0.771885374
8.72737E+12,176.6419988,-48.71270343,18.01602,1.104718622
8.76173E+12,176.6438361,-48.69866083,20.469542,0.736760691
8.76603E+12,176.6428401,-48.7054469,14.691891,0.842875339
8.83475E+12,176.9766232,-48.65688786,17.006292,2.338353371
8.89917E+12,176.9585261,-48.6501339,19.272629,2.704137466
8.93353E+12,176.9712235,-48.64019807,18.555439,0.173926414
9.10963E+12,176.9374086,-48.65593419,17.787647,0.29994414
9.17405E+12,176.9032588,-48.65357437,17.252138,1.867725651
9.24706E+12,176.9356611,-48.63192294,19.375763,0.696736908
9.28143E+12,176.9164386,-48.64501309,10.64289,3.800303056
9.68945E+12,176.914596,-48.61962328,16.613949,1.496434538
9.72381E+12,176.9211518,-48.59293851,16.548462,0.396465143
9.99868E+12,176.8716067,-48.66419843,16.94076,0.292612872
9.99868E+12,176.8632504,-48.65349556,19.999418,0.343771092
1.01361E+13,176.8640279,-48.63458817,19.035908,1.594286786
1.01404E+13,176.8712204,-48.63632274,15.405849,0.375328274
1.03423E+13,176.8442739,-48.62550157,20.16903,1.948505414
1.04797E+13,176.8958033,-48.60511631,20.551653,0.808583879
1.05828E+13,176.8963535,-48.5841249,19.88711,0.888794712
1.06859E+13,176.8750335,-48.57624411,20.16412,2.634986311
1.07546E+13,176.8492805,-48.60979081,19.302555,0.460635332
1.0892E+13,176.8515436,-48.57085594,18.78724,0.001630168
1.09951E+13,176.9897769,-48.5499761,18.517681,0.809685907
1.10295E+13,176.9924516,-48.53843785,16.37695,0.525263492
1.12056E+13,176.9544836,-48.52990849,16.955458,1.83293346
1.13044E+13,176.9384278,-48.5370942,19.035908,2.43111971
1.15105E+13,176.9133082,-48.51710922,17.598793,6.119356355
1.15449E+13,176.9941783,-48.49943,18.630215,0.506218728
1.15792E+13,176.9928675,-48.48083963,14.647317,0.806432609
1.16136E+13,176.9662108,-48.4944047,19.441694,1.123268773
1.1751E+13,176.9596799,-48.46760415,20.60094,0.233931384
1.17553E+13,176.9761674,-48.46566978,17.106558,2.764855262
1.17854E+13,176.9719219,-48.45662535,20.212744,1.335599929
1.24425E+13,176.8317561,-48.55723995,20.336842,0.115620939
1.25456E+13,176.8608863,-48.51301952,12.194942,4.329845546
1.26787E+13,176.9067046,-48.48631416,18.594732,0.05592795
1.26787E+13,176.9082917,-48.48267352,18.761465,0.110441782
1.27518E+13,176.8789821,-48.48365049,16.563858,0.8377698
1.28162E+13,176.9072,-48.45104508,18.895056,1.239281537
1.29536E+13,176.8627791,-48.48239071,20.215034,2.522005522
1.30567E+13,176.8660754,-48.47216502,18.836546,0.391962535
1.31254E+13,176.8459787,-48.47032161,17.419203,1.54387324
1.31641E+13,176.8355702,-48.45668833,16.10833,0.810196635
1.32972E+13,176.7791209,-48.67099134,19.94669,1.397140686
1.33015E+13,176.7804016,-48.66784437,10.789548,3.148076155
1.33316E+13,176.8104986,-48.65100253,19.556702,0.521126652
1.33316E+13,176.7951974,-48.65346336,19.065523,1.385149064
1.34003E+13,176.7840152,-48.65314144,17.171417,0.084654609
1.3469E+13,176.7485209,-48.68551179,17.44436,0.384911776
1.34733E+13,176.7604186,-48.68236785,11.142178,2.561994724
1.36065E+13,176.7677159,-48.64655697,19.48965,0.030776067
1.36065E+13,176.7616136,-48.65432383,20.716198,1.934841572
1.36108E+13,176.7639033,-48.6553625,16.196495,0.936763666
1.36408E+13,176.7673795,-48.6361577,16.766909,0.522397079
1.36451E+13,176.7578292,-48.64150882,17.334358,2.016727071
