pl_name,hostname,galactic_latitude,galactic_longitude,distance,visual_mag
K2-184 b,K2-184,29.69965,211.16645,75.5857,10.345
K2-185 b,K2-185,30.78517,211.41719,268.357,12.235
K2-185 c,K2-185,30.78517,211.41719,268.357,12.235
K2-186 b,K2-186,36.83022,208.95981,330.739,12.413
K2-187 b,K2-187,35.76402,202.77723,330.916,13.102
K2-187 c,K2-187,35.76402,202.77723,330.916,13.102
K2-187 d,K2-187,35.76402,202.77723,330.916,13.102
K2-187 e,K2-187,35.76402,202.77723,330.916,13.102
K2-188 b,K2-188,33.44489,201.65994,446.821,12.657
K2-188 c,K2-188,33.44489,201.65994,446.821,12.657
K2-189 b,K2-189,46.56042,318.13687,242.113,12.398
K2-189 c,K2-189,46.56042,318.13687,242.113,12.398
K2-19 b,K2-19,58.39355,267.02928,289.827,13.024
K2-19 c,K2-19,58.39355,267.02928,289.827,13.024
K2-19 d,K2-19,58.39355,267.02928,289.827,13.024
K2-190 b,K2-190,47.92235,321.26759,160.679,11.138
K2-190 c,K2-190,47.92235,321.26759,160.679,11.138
K2-191 b,K2-191,49.16582,316.08925,287.188,13.329
K2-192 b,K2-192,49.0873,323.71825,221.753,12.656
K2-193 b,K2-193,50.016,322.04583,411.923,13.341
K2-194 b,K2-194,52.18797,322.08712,629.51,12.998
K2-195 b,K2-195,53.72709,314.63917,315.014,12.524
K2-195 c,K2-195,53.72709,314.63917,315.014,12.524
K2-196 b,K2-196,53.64648,315.6756,584.877,12.241
K2-197 b,K2-197,54.28324,319.27444,247.637,12.199
K2-198 b,K2-198,55.91096,313.5829,110.567,10.971
K2-198 c,K2-198,55.91096,313.5829,110.567,10.971
K2-198 d,K2-198,55.91096,313.5829,110.567,10.971
K2-199 b,K2-199,53.29188,330.29727,107.518,12.358
K2-199 c,K2-199,53.29188,330.29727,107.518,12.358
K2-200 b,K2-200,56.98927,320.3032,184.131,12.428
K2-201 b,K2-201,-19.33571,16.19347,197.932,12.168
K2-201 c,K2-201,-19.33571,16.19347,197.932,12.168
K2-202 b,K2-202,-10.34806,12.94347,300.397,13.354
K2-203 b,K2-203,-64.0675,122.7358,166.147,12.391
K2-204 b,K2-204,-63.03714,132.94761,577.235,12.985
K2-205 b,K2-205,-62.35258,128.01885,405.301,12.45
K2-206 b,K2-206,-62.23569,119.48925,244.443,13.084
K2-207 b,K2-207,-62.20872,120.44391,363.064,13.175
K2-208 b,K2-208,-60.96448,139.4218,256.887,12.577
K2-209 b,K2-209,-61.43447,126.76197,76.4986,11.061
K2-21 b,K2-21,-57.17935,48.93602,83.6448,12.851
K2-21 c,K2-21,-57.17935,48.93602,83.6448,12.851
K2-210 b,K2-210,-60.92611,132.80593,176.51,11.535
K2-211 b,K2-211,-60.09222,139.64299,272.297,13.1547
K2-212 b,K2-212,-59.30136,133.86499,109.218,12.977
K2-213 b,K2-213,-59.36278,123.48216,389.702,11.803
K2-214 b,K2-214,-58.58351,126.79207,300.64,11.806
K2-215 b,K2-215,-56.30748,133.02426,403.964,12.99
K2-216 b,K2-216,-56.49811,120.44792,115.461,12.403
K2-217 b,K2-217,-56.3562,120.13142,381.878,12.264
K2-218 b,K2-218,-56.02528,122.84333,394.083,12.92
K2-219 b,K2-219,-54.0042,122.90808,325.4,12.09
K2-219 c,K2-219,-54.0042,122.90808,325.4,12.09
K2-219 d,K2-219,-54.0042,122.90808,325.4,12.09
K2-22 b,K2-22,56.81595,256.5319,243.836,15.565
K2-220 b,K2-220,-53.35488,122.78408,233.514,11.873
K2-221 b,K2-221,-52.5008,129.07585,318.81,12.571
K2-222 b,K2-222,-50.96109,128.53772,101.321,9.543
K2-223 b,K2-223,51.87879,290.83817,198.604,11.443
K2-223 c,K2-223,51.87879,290.83817,198.604,11.443
K2-224 b,K2-224,52.68541,297.80252,275.255,12.7
K2-224 c,K2-224,52.68541,297.80252,275.255,12.7
K2-225 b,K2-225,52.73956,292.60786,357.778,11.836
K2-226 b,K2-226,52.2367,287.99069,211.265,12.337
K2-227 b,K2-227,54.34518,299.6881,187.234,12.015
K2-228 b,K2-228,55.61276,293.11643,129.46,13.028
K2-229 b,K2-229,55.65723,292.35223,102.564,10.985
K2-229 c,K2-229,55.65723,292.35223,102.564,10.985
K2-230 b,K2-230,56.26458,300.25458,540.773,12.789
K2-231 b,K2-231,-12.52792,21.45369,321.215,12.768
K2-232 b,K2-232,-15.31645,182.07129,130.72,9.822
K2-233 b,K2-233,30.24863,344.46401,67.5062,10.883
K2-233 c,K2-233,30.24863,344.46401,67.5062,10.883
K2-233 d,K2-233,30.24863,344.46401,67.5062,10.883
K2-237 b,K2-237,9.23357,353.87129,314.995,11.602
K2-238 b,K2-238,-59.35657,67.22735,537.963,13.973
K2-239 b,K2-239,51.77727,243.59017,31.0849,14.632
K2-239 c,K2-239,51.77727,243.59017,31.0849,14.632
K2-239 d,K2-239,51.77727,243.59017,31.0849,14.632
K2-24 b,K2-24,19.20525,349.99931,170.562,11.275
K2-24 c,K2-24,19.20525,349.99931,170.562,11.275
K2-240 b,K2-240,33.6394,343.8913,72.9105,13.372
K2-240 c,K2-240,33.6394,343.8913,72.9105,13.372
K2-241 b,K2-241,54.24973,282.91232,149.464,11.97
K2-242 b,K2-242,54.06962,280.50197,109.237,16.414
K2-243 b,K2-243,56.0218,281.66644,266.864,10.971
K2-243 c,K2-243,56.0218,281.66644,266.864,10.971
K2-244 b,K2-244,57.739,285.17361,212.902,11.78
K2-245 b,K2-245,60.34375,287.27271,456.064,12.755
K2-246 b,K2-246,59.71563,280.22006,703.616,14.792
K2-247 b,K2-247,52.60405,296.49384,258.113,14.857
K2-247 c,K2-247,52.60405,296.49384,258.113,14.857
K2-248 b,K2-248,52.18224,286.63848,406.254,13.497
K2-249 b,K2-249,52.72248,287.33035,521.716,12.646
K2-25 b,K2-25,-25.29268,178.25572,44.9565,16.21
K2-250 b,K2-250,53.10691,289.98214,414.708,14.314
K2-251 b,K2-251,54.27377,299.25474,147.03,15.66
K2-252 b,K2-252,53.13179,285.45308,228.839,12.93
K2-253 b,K2-253,55.85724,290.87617,876.565,15.002
K2-254 b,K2-254,57.38029,289.32884,227.775,14.238
K2-254 c,K2-254,57.38029,289.32884,227.775,14.238
K2-255 b,K2-255,59.36883,297.15142,191.608,13.662
K2-257 b,K2-257,60.58522,293.57789,64.0065,13.716
K2-258 b,K2-258,61.2665,292.00804,661.873,13.361
K2-259 b,K2-259,63.78688,289.11701,416.457,12.511
K2-26 b,K2-26,3.90125,187.22234,99.0504,14.528
K2-260 b,K2-260,-13.94236,185.34317,663.834,12.624
K2-261 b,K2-261,50.89463,250.88317,213.283,10.612
K2-263 b,K2-263,30.65614,210.10377,162.481,11.568
K2-264 b,K2-264,33.6073,206.37173,185.605,16.701
K2-264 c,K2-264,33.6073,206.37173,185.605,16.701
K2-265 b,K2-265,-58.65451,50.42179,138.671,11.187
K2-266 b,K2-266,47.48286,245.04538,77.5586,11.625
K2-266 c,K2-266,47.48286,245.04538,77.5586,11.625
K2-266 d,K2-266,47.48286,245.04538,77.5586,11.625
K2-266 e,K2-266,47.48286,245.04538,77.5586,11.625
K2-268 b,K2-268,32.70262,216.0731,327.783,13.848
K2-268 c,K2-268,32.70262,216.0731,327.783,13.848
K2-268 d,K2-268,32.70262,216.0731,327.783,13.848
K2-268 e,K2-268,32.70262,216.0731,327.783,13.848
K2-268 f,K2-268,32.70262,216.0731,327.783,13.848
K2-269 b,K2-269,30.02227,213.15088,360.76,11.784
K2-27 b,K2-27,56.98688,261.02749,249.645,12.689
K2-270 b,K2-270,31.22796,213.091,280.518,13.847
K2-270 c,K2-270,31.22796,213.091,280.518,13.847
K2-271 b,K2-271,26.8561,207.78938,564.454,13.845
K2-272 b,K2-272,33.9644,209.30743,423.065,13.872
K2-273 b,K2-273,31.96885,206.52056,308.105,13.246
K2-274 b,K2-274,32.01486,204.79384,228.327,13.181
K2-275 b,K2-275,34.58078,205.82396,123.438,11.974
K2-275 c,K2-275,34.58078,205.82396,123.438,11.974
K2-276 b,K2-276,29.84642,201.1281,488.152,14.654
K2-277 b,K2-277,46.02638,315.66347,113.123,10.364
K2-278 b,K2-278,47.15133,317.88455,786.439,13.446
K2-279 b,K2-279,54.88181,323.85074,182.983,11.491
K2-28 b,K2-28,-49.89439,54.4554,62.9969,16.526
K2-280 b,K2-280,-17.32247,16.32379,391.537,12.524
K2-281 b,K2-281,-55.44818,128.82965,458.139,15.048
K2-282 b,K2-282,-54.87207,123.91754,496.289,14.21
K2-283 b,K2-283,-53.1774,123.48272,402.915,14.364
K2-284 b,K2-284,-10.25307,183.72406,107.272,13.265
K2-285 b,K2-285,-53.68469,80.67491,154.961,12.075
K2-285 c,K2-285,-53.68469,80.67491,154.961,12.075
K2-285 d,K2-285,-53.68469,80.67491,154.961,12.075
K2-285 e,K2-285,-53.68469,80.67491,154.961,12.075
K2-286 b,K2-286,31.08201,349.50145,76.1486,12.881
K2-287 b,K2-287,27.06963,345.04347,158.335,11.41
K2-289 b,K2-289,22.45095,0.07234,274.3,14.81
K2-29 b,K2-29,-19.5504,170.51373,178.475,12.532
K2-290 b,K2-290,27.59946,348.05236,272.909,11.114
K2-290 c,K2-290,27.59946,348.05236,272.909,11.114
K2-291 b,K2-291,-11.58155,181.1789,90.0562,10.014
K2-292 b,K2-292,50.98859,322.75465,114.293,9.885
K2-293 b,K2-293,-60.78063,75.33161,392.251,13.44
K2-294 b,K2-294,-62.24683,73.80612,373.078,12.649
K2-295 b,K2-295,-55.43141,134.80295,232.801,13.8941
K2-3 b,K2-3,55.25008,264.98752,44.0727,12.168
K2-3 c,K2-3,55.25008,264.98752,44.0727,12.168
K2-3 d,K2-3,55.25008,264.98752,44.0727,12.168
K2-30 b,K2-30,-27.54962,164.50146,333.042,13.547
K2-308 b,K2-308,-13.02961,186.5429,1314.53,15.072
K2-31 b,K2-31,18.27513,352.99471,110.527,10.802
K2-312 c,HD 80653,39.62439,216.49965,109.86,9.452
K2-315 b,K2-315,31.76781,342.43152,56.9686,17.67
K2-316 b,K2-316,26.05405,344.82551,112.486,17.14
K2-316 c,K2-316,26.05405,344.82551,112.486,17.14
K2-317 b,K2-317,30.70086,342.3074,176.291,17.74
K2-318 b,K2-318,31.08939,348.12324,147.866,15.8
K2-319 b,K2-319,55.3433,252.451,209.071,12.213
K2-32 b,K2-32,15.80164,0.54581,157.682,12.304
K2-32 c,K2-32,15.80164,0.54581,157.682,12.304
K2-32 d,K2-32,15.80164,0.54581,157.682,12.304
K2-32 e,K2-32,15.80164,0.54581,157.682,12.304
K2-320 b,K2-320,54.35434,245.35216,108.74,17.81
K2-321 b,K2-321,47.32067,241.80874,77.6888,13.677
K2-322 b,K2-322,48.87164,239.34592,123.415,13.963
K2-323 b,K2-323,52.01163,240.07252,118.318,14.935
K2-324 b,K2-324,50.91389,237.62638,136.667,15.223
K2-325 b,K2-325,-63.53633,76.71995,111.638,17.77
K2-326 b,K2-326,-54.94703,83.82219,282.308,15.982
K2-329 b,K2-329,-59.8217,75.76637,233.237,12.697
K2-33 b,K2-33,23.10048,354.42038,139.268,15.838
K2-330 b,K2-330,26.567,213.0547,160.125,9.608
K2-331 b,K2-331,32.3837,214.18022,211.43,11.305
K2-331 c,K2-331,32.3837,214.18022,211.43,11.305
K2-333 b,K2-333,36.79663,213.80335,343.99,12.073
K2-334 b,K2-334,36.95589,212.37147,371.823,11.842
K2-335 b,K2-335,30.71655,209.07458,557.993,12.556
K2-336 b,K2-336,34.7715,210.66771,239.289,12.803
K2-337 b,K2-337,29.41388,207.9912,421.636,12.385
K2-338 b,K2-338,26.44954,206.47017,156.951,13.322
K2-339 b,K2-339,32.12682,206.9914,360.36,14.487
K2-34 b,K2-34,31.13427,202.13873,348.646,11.447
K2-340 b,K2-340,30.36616,205.72851,738.136,14.428
K2-341 b,K2-341,32.92129,205.79387,421.408,12.725
K2-342 b,K2-342,35.67859,205.27646,208.357,11.338
K2-343 b,K2-343,36.71614,205.36595,166.169,16.01
K2-343 c,K2-343,36.71614,205.36595,166.169,16.01
K2-344 b,K2-344,38.67456,205.9637,75.1691,13.423
K2-345 b,K2-345,35.48996,204.48349,162.408,15.72
K2-346 b,K2-346,29.88541,201.10805,105.58,11.903
K2-347 b,K2-347,30.42848,200.54899,320.336,15.15
K2-348 b,K2-348,34.69497,200.78923,201.856,12.572
K2-348 c,K2-348,34.69497,200.78923,201.856,12.572
K2-349 b,K2-349,47.98798,311.98055,453.567,14.585
K2-35 b,K2-35,56.17437,258.9287,252.596,14.166
K2-35 c,K2-35,56.17437,258.9287,252.596,14.166
K2-350 b,K2-350,47.45593,319.0805,489.368,13.449
K2-350 c,K2-350,47.45593,319.0805,489.368,13.449
K2-351 b,K2-351,48.82989,323.69493,694.734,14.195
K2-352 b,K2-352,41.24964,211.54865,176.051,11.125
K2-352 c,K2-352,41.24964,211.54865,176.051,11.125
K2-352 d,K2-352,41.24964,211.54865,176.051,11.125
K2-353 b,K2-353,59.40196,320.32185,268.515,12.337
K2-354 b,K2-354,27.91033,215.64764,91.722,15.296
K2-355 b,K2-355,25.31595,210.18832,500.497,13.707
K2-356 b,K2-356,28.65234,211.64492,355.54,13.268
K2-357 b,K2-357,32.90877,210.36881,517.687,13.748
K2-358 b,K2-358,35.51836,208.19438,480.307,13.699
K2-36 b,K2-36,57.73789,254.97594,109.749,11.726
K2-36 c,K2-36,57.73789,254.97594,109.749,11.726
K2-365 b,K2-365,24.44846,350.41528,187.222,11.372
K2-366 b,K2-366,22.29893,355.16562,185.947,12.636
K2-367 b,K2-367,-54.50874,48.86201,176.965,13.794
K2-368 b,K2-368,-49.02284,47.88612,206.608,13.581
K2-368 c,K2-368,-49.02284,47.88612,206.608,13.581
K2-368 d,K2-368,-49.02284,47.88612,206.608,13.581
K2-369 b,K2-369,-46.37314,46.24456,185.55,11.789
K2-37 b,K2-37,18.77075,350.73677,179.943,12.573
K2-37 c,K2-37,18.77075,350.73677,179.943,12.573
K2-37 d,K2-37,18.77075,350.73677,179.943,12.573
K2-370 b,K2-370,-19.02443,177.48995,144.202,11.109
K2-371 b,K2-371,27.59317,213.62961,442.813,14.492
K2-372 b,K2-372,30.59304,213.45214,463.88,13.589
K2-373 b,K2-373,24.05251,209.34849,229.567,10.47
K2-374 b,K2-374,37.75937,212.73798,359.439,12.783
K2-374 c,K2-374,37.75937,212.73798,359.439,12.783
K2-375 b,K2-375,33.07586,205.29926,696.1,13.164
K2-376 b,K2-376,36.47336,200.65632,161.61,10.415
K2-377 b,K2-377,49.58463,318.17362,195.149,14.107
K2-378 b,K2-378,49.93541,321.88332,687.973,16.029
K2-379 b,K2-379,-12.16182,8.43581,182.207,13.265
K2-38 b,K2-38,22.1208,349.62852,192.69,11.344
K2-38 c,K2-38,22.1208,349.62852,192.69,11.344
K2-380 b,K2-380,-12.2236,9.18589,249.303,11.688
K2-381 b,K2-381,-13.78589,16.13135,145.701,12.883
K2-381 c,K2-381,-13.78589,16.13135,145.701,12.883
K2-381 d,K2-381,-13.78589,16.13135,145.701,12.883
K2-382 b,K2-382,-12.69181,17.17948,278.412,12.977
K2-383 b,K2-383,-7.54107,16.10079,203.788,12.689
K2-384 b,K2-384,-61.16767,138.93411,82.6603,16.12
K2-384 c,K2-384,-61.16767,138.93411,82.6603,16.12
K2-384 d,K2-384,-61.16767,138.93411,82.6603,16.12
K2-384 e,K2-384,-61.16767,138.93411,82.6603,16.12
K2-384 f,K2-384,-61.16767,138.93411,82.6603,16.12
K2-385 b,K2-385,-56.99964,122.48371,420.819,14.645
K2-386 b,K2-386,-55.45458,132.4843,428.785,13.241
K2-387 b,K2-387,-50.97688,133.21362,266.318,16.147
K2-388 b,K2-388,-65.17333,69.3239,290.495,12.861
K2-389 b,K2-389,-66.17747,76.64503,259.208,11.827
K2-389 c,K2-389,-66.17747,76.64503,259.208,11.827
K2-39 b,K2-39,-52.74736,55.42682,307.47,10.831
K2-390 b,K2-390,-66.12882,76.97927,456.122,13.611
K2-391 b,K2-391,-64.9803,80.80955,507.94,12.527
K2-392 b,K2-392,-63.84131,78.2799,406.985,12.922
K2-393 b,K2-393,-54.24391,78.0678,265.914,11.84
K2-394 b,K2-394,-18.62304,182.28292,98.0152,12.768
K2-395 b,K2-395,-19.03751,181.74418,286.727,15.131
K2-395 c,K2-395,-19.03751,181.74418,286.727,15.131
K2-396 b,K2-396,-15.41489,183.77072,274.864,13.32
K2-396 c,K2-396,-15.41489,183.77072,274.864,13.32
K2-397 b,K2-397,-9.06294,183.30951,199.354,11.865
K2-398 b,K2-398,50.97268,247.80615,606.992,13.287
K2-398 c,K2-398,50.97268,247.80615,606.992,13.287
K2-4 b,K2-4,54.37609,270.75455,231.828,14.855
K2-400 b,K2-400,46.54575,238.74447,62.3804,15.108
K2-401 b,K2-401,47.08124,238.85649,200.727,14.014
K2-402 b,K2-402,53.68828,241.94699,523.055,13.032
K2-403 b,K2-403,57.82145,240.30179,246.599,12.305
K2-404 b,K2-404,56.067,232.59266,121.63,14.622
K2-405 b,K2-405,59.6076,235.97962,197.234,12.816
K2-406 b,K2-406,25.98051,341.18993,85.3751,9.465
K2-407 b,K2-407,26.87929,344.16455,218.376,11.969
K2-407 c,K2-407,26.87929,344.16455,218.376,11.969
K2-408 b,K2-408,33.75085,344.09333,162.306,12.056
K2-409 b,K2-409,34.47507,345.58112,431.031,12.902
K2-411 b,K2-411,-26.15051,171.0844,298.219,12.27
K2-412 b,K2-412,-11.70195,181.05077,654.085,15.746
K2-413 b,K2-413,-63.15691,75.99216,285.162,15.013
K2-413 c,K2-413,-63.15691,75.99216,285.162,15.013
K2-414 b,K2-414,-59.71963,77.2386,260.036,14.289
K2-414 c,K2-414,-59.71963,77.2386,260.036,14.289
K2-415 b,K2-415,35.80871,217.79828,21.8182,15.33
K2-416 b,K2-416,-58.57188,72.95364,120.311,14.794
K2-417 b,K2-417,-62.60382,67.1966,94.0424,13.909
K2-419 A b,K2-419 A,34.45558,215.14807,268.685,16.52
K2-42 b,K2-42,54.10491,274.65511,396.913,15.006
K2-43 b,K2-43,51.36053,262.89727,182.536,15.748
K2-43 c,K2-43,51.36053,262.89727,182.536,15.748
K2-44 b,K2-44,55.22474,268.46993,476.703,12.27
K2-45 b,K2-45,53.45096,261.48531,495.317,15.746
K2-46 b,K2-46,56.74212,267.38763,449.237,12.144
K2-47 b,K2-47,56.3513,255.10364,349.881,14.065
K2-48 b,K2-48,61.27399,266.19266,313.764,14.345
K2-49 b,K2-49,62.0702,268.1186,457.125,15.668
K2-5 b,K2-5,53.17264,261.1438,202.943,14.974
K2-5 c,K2-5,53.17264,261.1438,202.943,14.974
K2-50 b,K2-50,59.32248,252.27127,257.443,14.705
K2-52 b,K2-52,16.53234,352.62682,1038.41,15.93
K2-53 b,K2-53,21.27273,354.63158,138.018,12.634
K2-54 b,K2-54,-56.53533,42.19002,174.955,14.542
K2-55 b,K2-55,-52.6322,39.9332,159.522,13.519
K2-57 b,K2-57,-59.00541,51.7416,264.213,14.414
K2-58 b,K2-58,-51.37977,44.72122,181.746,12.415
K2-58 c,K2-58,-51.37977,44.72122,181.746,12.415
K2-58 d,K2-58,-51.37977,44.72122,181.746,12.415
K2-59 b,K2-59,-55.79751,48.55544,311.313,14.266
K2-59 c,K2-59,-55.79751,48.55544,311.313,14.266
K2-6 b,K2-6,58.34897,274.0878,316.819,12.66
K2-60 b,K2-60,-55.37019,48.74576,491.87,12.857
K2-61 b,K2-61,-56.20059,49.89609,405.732,13.173
K2-62 b,K2-62,-50.99807,47.74962,112.467,12.391
K2-62 c,K2-62,-50.99807,47.74962,112.467,12.391
K2-63 b,K2-63,-50.13301,47.23492,517.534,12.98
K2-63 c,K2-63,-50.13301,47.23492,517.534,12.98
K2-64 b,K2-64,-48.95754,47.37604,499.891,14.132
K2-66 b,K2-66,-47.84963,47.69523,513.877,11.71
K2-68 b,K2-68,-49.91405,49.71413,168.652,12.987
K2-69 b,K2-69,-51.35123,51.1829,180.697,16.024
K2-7 b,K2-7,52.45583,257.43436,738.553,13.453
K2-70 b,K2-70,-53.41599,54.0417,232.964,13.074
K2-71 b,K2-71,-55.9696,57.39839,153.192,16.14
K2-72 b,K2-72,-49.94032,51.46106,66.4321,15.37
K2-72 c,K2-72,-49.94032,51.46106,66.4321,15.37
K2-72 d,K2-72,-49.94032,51.46106,66.4321,15.37
K2-72 e,K2-72,-49.94032,51.46106,66.4321,15.37
K2-73 b,K2-73,-49.98864,52.5209,269.183,11.345
K2-74 b,K2-74,-53.84042,57.29683,377.822,12.715
K2-75 b,K2-75,-52.25345,57.96683,561.93,12.803
K2-75 c,K2-75,-52.25345,57.96683,561.93,12.803
K2-77 b,K2-77,-32.85522,174.46686,141.731,12.224
K2-79 b,K2-79,-32.1709,173.69037,256.011,12.152
K2-8 b,K2-8,54.74227,260.18944,403.513,14.801
K2-8 c,K2-8,54.74227,260.18944,403.513,14.801
K2-80 b,K2-80,-29.48306,176.61237,200.802,12.694
K2-80 c,K2-80,-29.48306,176.61237,200.802,12.694
K2-80 d,K2-80,-29.48306,176.61237,200.802,12.694
K2-81 b,K2-81,-29.93683,174.63465,252.318,14.314
K2-83 b,K2-83,-27.51381,175.58174,125.529,14.522
K2-83 c,K2-83,-27.51381,175.58174,125.529,14.522
K2-84 b,K2-84,-29.57966,171.58123,284.876,13.386
K2-84 c,K2-84,-29.57966,171.58123,284.876,13.386
K2-85 b,K2-85,-25.81964,172.89825,97.2179,12.416
K2-86 b,K2-86,-30.831,166.55171,258.699,13.041
K2-87 b,K2-87,-20.81553,177.29046,491.242,14.136
K2-88 b,K2-88,-28.46409,168.79229,110.561,15.523
K2-89 b,K2-89,-25.99734,169.55248,86.0386,14.162
K2-9 b,K2-9,58.53482,269.75814,82.9631,15.86
K2-90 b,K2-90,-23.20116,169.54805,134.188,13.707
K2-90 c,K2-90,-23.20116,169.54805,134.188,13.707
K2-91 b,K2-91,-19.32486,171.03018,62.5785,15.622
K2-95 b,K2-95,31.59064,206.39412,179.854,17.236
K2-97 b,K2-97,26.99304,214.2879,878.43,12.486
K2-98 b,K2-98,26.13802,213.02652,518.625,12.216
K2-99 b,K2-99,53.97598,330.5855,519.229,11.149
KELT-1 b,KELT-1,-22.47358,112.50389,268.43,10.632
KELT-10 b,KELT-10,-20.57244,349.65854,188.404,10.617
KELT-11 b,KELT-11,42.6058,259.03088,99.1596,8.04
KELT-12 b,KELT-12,27.34278,62.18909,368.03,10.585
KELT-14 b,KELT-14,-14.19423,253.62974,250.121,11.001
KELT-15 b,KELT-15,-12.86035,265.3722,324.683,11.39
KELT-16 b,KELT-16,-8.9423,75.59227,444.586,11.717
KELT-17 b,KELT-17,26.27651,210.37718,226.5,9.234
KELT-18 b,KELT-18,53.81036,102.71473,321.376,10.16
KELT-19 A b,KELT-19 A,11.13398,210.01238,300.276,9.857
KELT-2 A b,KELT-2 A,5.70825,180.95024,134.058,8.68
KELT-20 b,KELT-20,4.62728,65.80767,136.426,7.59
KELT-21 b,KELT-21,-1.9865,71.48138,470.878,10.484
KELT-23 A b,KELT-23 A,43.94313,102.28211,126.261,10.308
KELT-24 b,KELT-24,42.30144,135.57326,96.5173,8.34
KELT-3 b,KELT-3,51.38017,181.25553,210.252,9.816
KELT-4 A b,KELT-4 A,57.99257,207.45808,218.05,9.98
KELT-6 b,KELT-6,85.54996,85.77535,240.726,10.371
KELT-6 c,KELT-6,85.54996,85.77535,240.726,10.371
KELT-7 b,KELT-7,-3.36514,172.51277,136.681,8.56
KELT-8 b,KELT-8,10.37371,54.84095,197.572,10.845
KELT-9 b,KELT-9,0.24852,78.91292,204.455,7.55
KIC 10001893 b,KIC 10001893,16.58578,77.7304,1672.94,15.829
KIC 10001893 c,KIC 10001893,16.58578,77.7304,1672.94,15.829
KIC 10001893 d,KIC 10001893,16.58578,77.7304,1672.94,15.829
KIC 10068024 b,KIC 10068024,15.68342,78.16657,721.105,13.144
KIC 10525077 b,KIC 10525077,16.88885,78.48854,1461.15,15.592
KIC 3526061 b,KIC 3526061,14.85137,69.05636,401.229,10.372
KIC 3558849 b,KIC 3558849,7.98057,72.43389,1215.7,14.32
KIC 5437945 b,KIC 5437945,13.35484,72.03315,1274.01,13.834
KIC 5479689 b,KIC 5479689,6.05858,75.89407,454.95,13.929
KIC 7917485 b,KIC 7917485,7.52066,78.52715,1382.89,13.166
KIC 8121913 b,KIC 8121913,7.95154,78.59537,707.303,12.38
KIC 8540376 b,KOI-7892,19.02783,74.17444,1072.3,14.411
KIC 8540376 c,KOI-7892,19.02783,74.17444,1072.3,14.411
KIC 9663113 b,KIC 9663113,10.32377,80.05076,1594.74,14.027
KOI-12 b,KOI-12,7.46967,75.49897,399.398,11.51
KOI-13 b,KOI-13,16.80645,77.5059,519.096,9.791
KOI-142 b,KOI-142,11.52808,72.93478,376.863,13.209
KOI-142 c,KOI-142,11.52808,72.93478,376.863,13.209
KOI-1599.01,KOI-1599,6.67033,75.50723,1131.64,14.795
KOI-1599.02,KOI-1599,6.67033,75.50723,1131.64,14.795
KOI-1783.01,KOI-1783,15.36009,78.27209,865.73,13.978
KOI-1783.02,KOI-1783,15.36009,78.27209,865.73,13.978
KOI-1831 d,Kepler-324,18.13155,80.09266,501.574,14.222
KOI-1833 d,Kepler-968,18.81793,80.34362,290.324,14.626
KOI-217 b,KOI-217,11.6333,79.29221,914.699,15.257
KOI-2513.01,KOI-2513,12.41248,78.99551,1369.87,14.913
KOI-3503 b,KOI-3503,10.6522,74.58619,887.064,13.831
KOI-3503 c,KOI-3503,10.6522,74.58619,887.064,13.831
KOI-351 b,KOI-351,19.25567,79.26947,848.254,13.883
KOI-351 c,KOI-351,19.25567,79.26947,848.254,13.883
KOI-351 d,KOI-351,19.25567,79.26947,848.254,13.883
KOI-351 e,KOI-351,19.25567,79.26947,848.254,13.883
KOI-351 f,KOI-351,19.25567,79.26947,848.254,13.883
KOI-351 g,KOI-351,19.25567,79.26947,848.254,13.883
KOI-351 h,KOI-351,19.25567,79.26947,848.254,13.883
KOI-3680 b,KOI-3680,12.17757,77.89242,921.986,14.616
KOI-4777.01,KOI-4777,14.74734,72.95336,172.245,16.413
KOI-55 b,KOI-55,8.23109,75.1612,1231.02,15.154
KOI-55 c,KOI-55,8.23109,75.1612,1231.02,15.154
KOI-7368 b,KOI-7368,12.99257,80.62989,264.995,12.969
KOI-7913 b,KOI-7913 A,16.30536,75.79314,271.277,14.23
KOI-94 b,KOI-94,7.98316,76.22605,477.052,12.314
KOI-94 c,KOI-94,7.98316,76.22605,477.052,12.314
KOI-94 d,KOI-94,7.98316,76.22605,477.052,12.314
KOI-94 e,KOI-94,7.98316,76.22605,477.052,12.314
KOI-984 b,KOI-984,9.90063,69.40595,252.667,12.795
KOI-984 c,KOI-984,9.90063,69.40595,252.667,12.795
KPS-1 b,KPS-1,48.29956,140.12745,262.706,12.97
Kapteyn c,Kapteyn,-35.97592,250.56446,3.93305,8.86
Kepler-10 b,Kepler-10,18.81626,80.48988,185.506,11.043
Kepler-10 c,Kepler-10,18.81626,80.48988,185.506,11.043
Kepler-10 d,Kepler-10,18.81626,80.48988,185.506,11.043
Kepler-100 b,Kepler-100,11.94515,74.22764,304.645,11.055
Kepler-100 c,Kepler-100,11.94515,74.22764,304.645,11.055
Kepler-100 d,Kepler-100,11.94515,74.22764,304.645,11.055
Kepler-100 e,Kepler-100,11.94515,74.22764,304.645,11.055
Kepler-1000 b,Kepler-1000,17.07309,77.6531,1115.62,13.23
Kepler-1001 b,Kepler-1001,17.88434,79.03209,928.978,15.582
Kepler-1001 c,Kepler-1001,17.88434,79.03209,928.978,15.582
Kepler-1002 b,Kepler-1002,11.30666,75.78378,408.303,11.821
