pl_name,hostname,galactic_latitude,galactic_longitude,distance,visual_mag
CoRoT-18 b,CoRoT-18,-4.18491,210.8191,764.889,14.868
CoRoT-19 b,CoRoT-19,-5.26125,210.42057,790.663,14.135
CoRoT-2 b,CoRoT-2,-7.29102,38.26267,213.283,12.516
CoRoT-20 b,CoRoT-20,-4.4686,210.38123,844.061,14.63
CoRoT-20 c,CoRoT-20,-4.4686,210.38123,844.061,14.63
CoRoT-22 b,CoRoT-22,4.775,37.48307,627.158,13.82
CoRoT-23 b,CoRoT-23,4.71959,35.41749,1060.97,15.675
CoRoT-24 b,CoRoT-24,-2.52763,215.81744,591.555,15.383
CoRoT-24 c,CoRoT-24,-2.52763,215.81744,591.555,15.383
CoRoT-25 b,CoRoT-25,4.94113,37.73014,1103.48,14.79
CoRoT-26 b,CoRoT-26,5.926,37.74453,1045.18,15.861
CoRoT-27 b,CoRoT-27,6.39649,35.89455,1010.28,15.774
CoRoT-28 b,CoRoT-28,6.24131,36.01305,766.183,13.783
CoRoT-29 b,CoRoT-29,6.45872,36.92336,806.507,15.408
CoRoT-3 b,CoRoT-3,-8.12065,37.26302,768.771,13.448
CoRoT-30 b,CoRoT-30,7.77355,36.66096,1032.23,15.571
CoRoT-31 b,CoRoT-31,-9.16321,213.22491,2005.76,15.479
CoRoT-35 b,CoRoT-35,-7.00809,33.40059,1123.21,15.635
CoRoT-36 b,CoRoT-36,7.79576,37.04172,925.958,13.126
CoRoT-4 b,CoRoT-4,-0.89847,213.22759,726.412,13.652
CoRoT-5 b,CoRoT-5,-1.0362,211.48472,882.472,14.043
CoRoT-6 b,CoRoT-6,4.6158,38.06304,645.294,13.961
CoRoT-7 b,CoRoT-7,-2.17853,213.01042,159.906,11.728
CoRoT-7 c,CoRoT-7,-2.17853,213.01042,159.906,11.728
CoRoT-7 d,CoRoT-7,-2.17853,213.01042,159.906,11.728
CoRoT-8 b,CoRoT-8,-7.10426,38.21286,322.037,14.792
CoRoT-9 b,CoRoT-9,4.66217,37.52335,412.98,13.637
CoRoTID 223977153 b,CoRoTID 223977153,1.86373,203.48237,576.683,13.626
DE CVn b,DE CVn,70.27803,104.28761,30.5225,12.956
DH Tau b,DH Tau,-14.93888,171.89958,134.846,13.98
DMPP-1 b,DMPP-1,-19.05301,215.35863,62.5388,7.98
DMPP-1 c,DMPP-1,-19.05301,215.35863,62.5388,7.98
DMPP-1 d,DMPP-1,-19.05301,215.35863,62.5388,7.98
DMPP-1 e,DMPP-1,-19.05301,215.35863,62.5388,7.98
DMPP-2 b,DMPP-2,-75.5342,246.92255,137.94,8.57
DMPP-4 b,DMPP-4,14.58774,83.46183,25.3284,5.72936
DP Leo b,DP Leo,66.45634,230.89636,305.684,18.6837
DS Tuc A b,DS Tuc A,-46.63356,312.10146,44.0622,8.17
EPIC 201238110 b,EPIC 201238110,56.94662,278.31843,159.259,16.014
EPIC 201427007 b,EPIC 201427007,61.20318,285.58634,706.391,14.321
EPIC 201497682 b,EPIC 201497682,54.82399,258.19387,253.026,13.948
EPIC 201595106 b,EPIC 201595106,63.35883,282.19917,232.1,11.746
EPIC 201615463 c,K2-166,64.0901,285.15815,476.882,12.081
EPIC 201754305 d,K2-16,61.77713,262.91176,334.967,14.668
EPIC 201833600 c,K2-50,59.32248,252.27127,257.443,14.705
EPIC 201841433 b,EPIC 201841433,63.11979,261.10589,436.488,14.983
EPIC 205950854 c,K2-168,-51.71337,40.91076,243.935,12.365
EPIC 206024342 b,EPIC 206024342,-49.1871,42.94366,369.888,13.096
EPIC 206024342 c,EPIC 206024342,-49.1871,42.94366,369.888,13.096
